StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q17,Q18,Q19,Q20
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,What is your age group?,Do you identify as...,Please indicate the highest level of education you have completed.,"Have you previously encountered the term ""Speech Language Pathologist""?",Have you ever received services from a Speech Language Pathologist?,How familiar are you with the practice settings of Speech Language Pathologists?,How familiar are you with the roles and responsibilities of Speech Language Pathologists?,What is the highest level of education you think Speech Language Pathologists must acquire in order to practice?,What age group do Speech Language Pathologists work with? (Choose any of the following),Which term are you more familiar with?,"In your opinion,  how important do you think Speech Language Pathologists are compared to other allied healthcare professions (ex: Physical therapist, Occupational Therapist, Respiratory therapist etc.)?",How often do you think Speech Language Pathologists collaborate with other healthcare professionals?,Select all the practice settings you think Speech Language Pathologists would work in,How many clients do Speech Language Pathologists work with in a school setting?,Select all the expertise categories of Speech Language Pathologists.,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Evaluate and diagnose speech disorders,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Evaluate and diagnose language disorders,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Evaluate and diagnose communication disorders,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Evaluate and diagnose swallowing disorders,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Treat speech disorders,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Treat language disorders,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Treat swallowing disorders,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Provide training and education to family/caregivers,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Provide training and education to other professionals,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Work collaboratively with professionals of other disciplines,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Prepare future speech language pathologists,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Own/run a clinic or private practice,"Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Work for national, state, or local associations or agencies",Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Supervise and direct public school or clinical programs,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Engage in research,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Provide counseling and consultative services,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Train and supervise support personnel,Select all of the roles and responsibilities that you believe Speech Language Pathologists would have in each setting. - Follow federal and state mandates in regards to billing,Do you think Speech Language Pathologists work with patients who have difficulty with swallowing?,Do you think Speech Language Pathologists work with patients that have hearing loss?,Do you think Speech Language Pathologists work with patients in end-of-life care?,"In your opinion, are there any changes that need to be made to increase awareness and understanding of Speech Language Pathologists among the general public?"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID11""}","{""ImportId"":""QID8""}","{""ImportId"":""QID5""}","{""ImportId"":""QID28""}","{""ImportId"":""QID32""}","{""ImportId"":""QID37""}","{""ImportId"":""QID46""}","{""ImportId"":""QID4""}","{""ImportId"":""QID31""}","{""ImportId"":""QID43""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID9_9""}","{""ImportId"":""QID9_10""}","{""ImportId"":""QID9_11""}","{""ImportId"":""QID9_12""}","{""ImportId"":""QID9_13""}","{""ImportId"":""QID9_14""}","{""ImportId"":""QID9_15""}","{""ImportId"":""QID9_16""}","{""ImportId"":""QID9_17""}","{""ImportId"":""QID9_18""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID52""}","{""ImportId"":""QID47_TEXT""}"
2023-10-17 19:40:51,2023-10-17 19:40:56,Imported,5,4,False,2024-01-05 23:44:54,R_0P0wpXp2PECX4VM,anonymous,EN,0.8999999761581421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17 21:12:11,2023-10-17 21:13:16,Imported,67,64,False,2024-01-05 23:44:54,R_4SoQQDI9LJHEt3o,anonymous,EN,1,25-34,Female,"Bachelor's Degree (e.g. BA, BS)",Yes,No,Moderately familiar,Moderately familiar,"Master's Degree (e.g. MA, MS)",All stages of life,Speech Language Pathologist,Extremely important,Moderate collaboration,"Schools (e.g. k-12),Hospitals,Residential Health Care Facilities (e.g. assisted living facilities),Early Intervention Practices,Preschools",,,,,,,,,,,,,,,,,,,,,,,,
2023-10-22 20:17:46,2023-10-22 20:18:54,Imported,67,68,False,2024-01-05 23:44:54,R_6ROfe7Xcr0k83mS,anonymous,EN,0.8999999761581421,25-34,Female,"Master's Degree (e.g. MA, MS, MBA, MEng)",Yes,No,Extremely familiar,Extremely familiar,"Master's Degree (e.g. MA, MS)",All stages of life,"Speech teacher,Speech therapist,Speech Language Pathologist",Very important,Extensive collaboration,"Schools (e.g. k-12),Hospitals,Nonresidential Health Care Facilities (e.g. doctor's office),Private Practices,Residential Health Care Facilities (e.g. assisted living facilities),Public Health Departments,Private Corporations,Home Health Practices,Universities,Early Intervention Practices,Preschools,Prisons",,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17 19:16:48,2023-10-17 19:27:00,Imported,67,611,False,2024-01-05 23:44:54,R_6zdPIz2jQPB0Rp4,anonymous,EN,1,55-64,Female,"Master's Degree (e.g. MA, MS, MBA, MEng)",Yes,No,Very familiar,Moderately familiar,"Master's Degree (e.g. MA, MS)",All stages of life,Speech therapist,Very important,Moderate collaboration,"Schools (e.g. k-12),Hospitals,Private Practices,Public Health Departments,Universities,Early Intervention Practices,Preschools",,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17 18:10:38,2023-10-17 18:12:23,Imported,67,104,False,2024-01-05 23:44:54,R_9YNGUmX5QZ0ahqS,anonymous,EN,0.8999999761581421,18-24,Female,"Master's Degree (e.g. MA, MS, MBA, MEng)",Yes,No,Moderately familiar,Moderately familiar,"Master's Degree (e.g. MA, MS)","Infants/Newborns,School-aged children",Speech therapist,Moderately important,Minimal collaboration,"Schools (e.g. k-12),Hospitals,Nonresidential Health Care Facilities (e.g. doctor's office),Private Practices,Public Health Departments,Private Corporations,Home Health Practices,Early Intervention Practices,Preschools",,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17 18:43:57,2023-10-17 18:45:33,Imported,57,96,False,2024-01-05 23:44:54,R_5sUrCBuq1XEh2Hc,anonymous,EN,1,25-34,Female,"Bachelor's Degree (e.g. BA, BS)",Yes,No,Moderately familiar,Moderately familiar,"Master's Degree (e.g. MA, MS)",All stages of life,Speech Language Pathologist,Moderately important,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17 19:09:23,2023-10-17 19:10:21,Imported,67,58,False,2024-01-05 23:44:54,R_b4lJ7WLqadc6jaK,anonymous,EN,1,18-24,Female,"Bachelor's Degree (e.g. BA, BS)",No,No,Not familiar at all,Not familiar at all,No degree required,All stages of life,Speech therapist,Very important,Moderate collaboration,"Schools (e.g. k-12),Hospitals,Nonresidential Health Care Facilities (e.g. doctor's office),Private Practices,Residential Health Care Facilities (e.g. assisted living facilities),Public Health Departments,Private Corporations,Home Health Practices,Universities,Early Intervention Practices,Preschools,Prisons",,,,,,,,,,,,,,,,,,,,,,,,
2023-10-17 18:47:08,2023-10-17 18:48:48,Imported,19,99,False,2024-01-05 23:44:54,R_5znAHEQ3SeQeRXE,anonymous,EN,0.8999999761581421,45-54,Female,"Master's Degree (e.g. MA, MS, MBA, MEng)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
